photo,location,site,depth,barn.presence,count,area.m,dens.m,coral.cover,depth.,,
101,FGB,EB,19.5072,y,345,1.28795171,267.86719,28.52606,shallow,,
102,FGB,EB,19.812,y,175,0.49931733,350.47852,11.05908,shallow,,
103,FGB,EB,21.5,y,610,1.41265425,431.81125,31.28802,shallow,,"Note: Photos 103, 709 and 807 did not have a recorded depth in NOAA's long term monitoring master spreadsheet. Therefore, an average for all shallow depth sites was assigned to these images (see Table 3 in Maher et al.)."
104,FGB,EB,20.7264,y,813,1.30558357,622.71004,28.91658,shallow,,
105,FGB,EB,21.336,y,96,0.1602022,599.24271,3.54822,shallow,,
106,FGB,EB,19.5072,y,781,0.54992768,1420.18674,12.18002,shallow,,
107,FGB,EB,19.812,y,146,0.75496985,193.38521,16.72137,shallow,,
108,FGB,EB,20.0312,y,14,0.08671464,161.44909,1.92059,shallow,,
201,FGB,EB,21.9456,y,963,1.057672,910.49021,23.42574,shallow,,
202,FGB,EB,23.4696,y,320,2.89976262,110.35386,64.22509,shallow,,
203,FGB,EB,23.4696,y,806,1.68222915,479.12616,37.25867,shallow,,
204,FGB,EB,24.0792,y,886,2.16931386,408.42407,48.04682,shallow,,
205,FGB,EB,23.1648,y,828,2.62353237,315.60503,58.10703,shallow,,
206,FGB,EB,23.4696,y,122,1.62926253,74.8805,36.08555,shallow,,
207,FGB,EB,21.336,y,217,2.07678442,104.48846,45.99744,shallow,,
208,FGB,EB,19.5072,y,420,3.04369252,137.99029,67.4129,shallow,,
209,FGB,EB,20.1168,y,874,1.86069973,469.71577,41.21151,shallow,,
210,FGB,EB,20.7264,y,858,2.40756893,356.37609,53.32379,shallow,,
211,FGB,EB,21.0312,y,624,0.65650317,950.49046,14.54049,shallow,,
212,FGB,EB,21.0312,y,500,1.83488857,272.49611,40.63984,shallow,,
301,FGB,EB,21.9456,y,1361,2.5776426,528.00183,57.09064,shallow,,
302,FGB,EB,20.4216,y,515,1.90786276,269.93556,42.2561,shallow,,
303,FGB,EB,19.5072,y,863,1.79603622,480.50256,39.77932,shallow,,
304,FGB,EB,21.0312,y,127,1.0736353,118.2897,23.7793,shallow,,
305,FGB,EB,22.2504,y,298,1.61076589,185.00516,35.67588,shallow,,
306,FGB,EB,21.9456,y,564,1.28621519,438.49583,28.4876,shallow,,
307,FGB,EB,20.4216,y,443,1.6045552,276.08897,35.53832,shallow,,
501,FGB,WB,20.4216,y,222,0.9760821,227.43988,21.61865,shallow,,
502,FGB,WB,20.4216,y,137,1.58684637,86.33476,35.1461,shallow,,
503,FGB,WB,21.336,y,121,0.65242999,185.46051,14.45028,shallow,,
504,FGB,WB,20.7264,y,175,2.06355498,84.80511,45.70443,shallow,,
505,FGB,WB,20.7264,y,1070,2.37236182,451.02732,52.544,shallow,,
506,FGB,WB,20.4216,y,969,2.41937959,400.5159,53.58537,shallow,,
507,FGB,WB,20.4216,y,204,1.24633939,163.67933,27.60442,shallow,,
508,FGB,WB,19.812,y,68,0.7479084,90.92022,16.56497,shallow,,
509,FGB,WB,20.1168,y,38,0.276593,137.38598,6.12609,shallow,,
510,FGB,WB,20.1168,y,285,1.41014648,202.10666,31.23248,shallow,,
511,FGB,WB,20.7264,y,352,2.20764559,159.44588,48.8958,shallow,,
512,FGB,WB,19.812,y,226,1.14271667,197.77431,25.30934,shallow,,
513,FGB,WB,21.9456,y,828,1.82470849,453.77111,40.41436,shallow,,
601,FGB,WB,22.86,y,128,1.26510936,101.17702,28.02014,shallow,,
602,FGB,WB,22.2504,y,221,1.64690355,134.19122,36.47627,shallow,,
603,FGB,WB,21.9456,y,157,1.27713572,122.93134,28.28651,shallow,,
604,FGB,WB,22.5552,y,261,0.60701275,429.97449,13.44436,shallow,,
605,FGB,WB,22.2504,y,487,1.13210216,430.17319,25.07424,shallow,,
606,FGB,WB,21.0312,y,1980,1.71665788,1153.40396,38.02122,shallow,,
607,FGB,WB,21.336,y,476,2.2174722,214.65884,49.11345,shallow,,
608,FGB,WB,21.336,y,432,0.32177648,1342.54685,7.12683,shallow,,
609,FGB,WB,21.6408,y,640,1.10710921,578.08208,24.52069,shallow,,
701,FGB,WB,23.4696,y,399,0.6897811,578.44438,15.27754,shallow,,
702,FGB,WB,23.7744,y,407,1.61077181,252.6739,35.67601,shallow,,
703,FGB,WB,21.9456,y,820,0.37707971,2174.60653,8.35171,shallow,,
704,FGB,WB,22.2504,y,30,0.08462355,354.51124,1.87428,shallow,,
705,FGB,WB,22.2504,y,93,0.27285519,340.84014,6.0433,shallow,,
706,FGB,WB,21.6408,y,354,0.90671612,390.41988,20.08231,shallow,,
707,FGB,WB,22.2504,y,151,0.61863362,244.08631,13.70174,shallow,,
708,FGB,WB,22.2504,y,1435,1.7786037,806.81267,39.39322,shallow,,
709,FGB,WB,21.5,y,283,0.434089,651.94004,9.61437,shallow,,
801,FGB,WB,23.1648,y,27,0.46674253,57.84774,10.3376,shallow,,
802,FGB,WB,22.5552,y,688,2.26431981,303.84401,50.15105,shallow,,
