Treatment,Timestamp,BikeMoveRight2,MVWait2,Permitted2,Safe2,BikeMoveRight4,MVWait4,Permitted4,Safe4,CycleDistance,CycleDist1,CycleDist2,MVDistance,CommuteType,CommuteType1,CommuteType2,State,Gender,Education
1_None,8.6.2014 20:07:52,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,CA,Male,4-Year College
4_BMUFL,8.6.2014 17:49:41,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,IA,Male,4-Year College
1_None,8.7.2014 0:38:15,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,None,"Public transport (bus, school bus, train, etc.)","Public transport (bus, school bus, train, etc.)",Other,IL,Female,4-Year College
2_STR,8.8.2014 23:16:56,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,4-Year College
1_None,8.7.2014 5:22:37,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,None,0,<10,Less than 50 miles,"Public transport (bus, school bus, train, etc.)","Public transport (bus, school bus, train, etc.)",Other,AL,Male,Graduate Degree
2_STR,8.6.2014 19:58:20,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,AR,Male,Community College
4_BMUFL,8.10.2014 22:57:07,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,CA,Male,4-Year College
4_BMUFL,8.11.2014 14:58:18,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,CA,Male,High School
4_BMUFL,8.11.2014 18:12:47,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,CA,Male,Graduate Degree
4_BMUFL,8.11.2014 23:38:40,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,I do not commute to work or school,I do not commute to work or school,Other,CA,Male,Community College
