SUBJECT,TYPE,POSTDATE,PLATFORM,CODE,POST,Followers,Followers_log10,LIKES,Likes_pkU,Likes_pkU_z,COMMENTS,Comments_pkU,Comments_pkU_z,SHARES,Shares_pkU,Shares_pkU_z,CLICK_THROUGHS,CTs_pkU,CTs_pkU_z,AVG_VISIT_DURATION,AVG_VISIT_DURATION_z,RETENTION_RATE,RETENTION_RATE_z
Archive pics,GWII,20-Oct-2014,Facebook,tG01F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/717713191649362/?type=1,343998,5.54,151.0,.44,-.42,3.0,.01,-.40,13.0,.04,-.46,29.0,.08,-.33,.0,-.33,.0,-0.72
LHC model,GWII,27-Oct-2014,Facebook,tG02Fa,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/720913521329329/?type=1,347392,5.54,302.0,.87,-.18,20.0,.06,-.12,24.0,.07,-.37,51.0,.15,-.21,2.0,-.29,6.0,0.20
LHC model,GWII,27-Oct-2014,Facebook,tG02Fb,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/720913521329329/?type=1,347392,5.54,,,,,,,,,,14.0,.04,-.42,.0,-.33,.0,-0.72
ISR archive pic,GWII,3-Nov-2014,Facebook,tG03Fa,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/724109244343090/?type=1,349907,5.54,146.0,.42,-.43,16.0,.05,-.18,10.0,.03,-.49,17.0,.05,-.40,9.0,-.13,6.0,0.20
ISR archive pic,GWII,3-Nov-2014,Facebook,tG03Fb,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/724109244343090/?type=1,349907,5.54,,,,,,,,,,69.0,.20,-.11,24.0,.21,6.0,0.20
CMS Cristal-ise,GWII,10-Nov-2014,Facebook,tG04F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/727793313974683/?type=1,353527,5.55,176.0,.50,-.38,11.0,.03,-.27,17.0,.05,-.43,26.0,.07,-.35,1.0,-.31,8.0,0.51
ASACUSA,GWII,17-Nov-2014,Facebook,tG05F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/731218013632213/?type=1,358274,5.55,379.0,1.06,-.08,10.0,.03,-.29,38.0,.11,-.25,26.0,.07,-.35,11.0,-.08,8.0,0.51
Octopus,GWII,24-Nov-2014,Facebook,tG06Fa,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/734453093308705/?type=1,362576,5.56,243.0,.67,-.29,10.0,.03,-.29,23.0,.06,-.38,15.0,.04,-.42,.0,-.33,.0,-0.72
Octopus,GWII,24-Nov-2014,Facebook,tG06Fb,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/734453093308705/?type=1,362576,5.56,,,,,,,,,,24.0,.07,-.37,.0,-.33,.0,-0.72
Pipes,GWII,1-Dec-2014,Facebook,tG07Fa,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/737792832974731/?type=1,364826,5.56,176.0,.48,-.39,22.0,.06,-.10,12.0,.03,-.48,22.0,.06,-.38,15.0,.01,5.0,0.05
