"Brand_Name","flavor","CO","nic","tar","size","filter","pack","menthol"
"Alpine ","",15,1.1,16,"100","F","SP","yes"
"Alpine ","Lt",12,0.8,10,"100","F","SP","yes"
"Alpine ","",15,1.1,16,"King","F","HP","yes"
"Alpine ","Lt",11,0.7,10,"King","F","HP","yes"
"Alpine ","",16,1,16,"King","F","SP","yes"
"Alpine ","Lt",10,0.7,9,"King","F","SP","yes"
"American ","FF",16,0.9,14,"100","F","SP","no"
"American ","Lt",13,0.7,10,"100","F","SP","no"
"American ","Lt",11,0.7,9,"King","F","HP","no"
"American ","FF",15,0.9,15,"King","F","SP","no"
"American ","Lt",11,0.7,9,"King","F","SP","no"
"Austin* ","FF",18,0.8,13,"100","F","SP","no"
"Austin* ","FF",17,0.8,13,"100","F","SP","yes"
"Austin* ","Lt",12,0.7,9,"100","F","SP","no"
"Austin* ","Lt",12,0.7,10,"100","F","SP","yes"
"Austin* ","Ultra-Lt",8,0.3,4,"100","F","SP","no"
"Austin* ","FF",16,0.9,15,"King","F","HP","no"
"Austin* ","Lt",12,0.6,9,"King","F","HP","no"
"Austin* ","FF",16,0.8,14,"King","F","SP","no"
"Austin* ","FF",17,0.8,14,"King","F","SP","yes"
"Austin* ","Lt",13,0.7,10,"King","F","SP","no"
"Austin* ","Lt",12,0.6,9,"King","F","SP","yes"
"Austin* ","Ultra-Lt",6,0.3,4,"King","F","SP","no"
"Austin* ","",16,1.1,20,"King","NF","SP","no"
"Barclay* ","",4,0.4,5,"100","F","SP","no"
"Barclay* ","",2,0.2,3,"King","F","HP","no"
"Barclay* ","",2,0.2,3,"King","F","SP","no"
"Bargain Buy* ","FF",18,0.8,13,"100","F","SP","no"
"Bargain Buy* ","FF",17,0.8,13,"100","F","SP","yes"
"Bargain Buy* ","Lt",12,0.7,9,"100","F","SP","no"
"Bargain Buy* ","Lt",12,0.7,10,"100","F","SP","yes"
"Bargain Buy* ","Ultra-Lt",8,0.3,4,"100","F","SP","no"
"Bargain Buy* ","FF",16,0.8,14,"King","F","SP","no"
"Bargain Buy* ","FF",17,0.8,14,"King","F","SP","yes"
"Bargain Buy* ","Lt",13,0.7,10,"King","F","SP","no"
"Bargain Buy* ","Lt",12,0.6,9,"King","F","SP","yes"
"Bargain Buy* ","Ultra-Lt",6,0.3,4,"King","F","SP","no"
"Bargain Buy* ","",16,1.1,20,"King","NF","SP","no"
"Basic ","",19,1,16,"100","F","SP","no"
"Basic ","FF",19,1,16,"100","F","SP","yes"
"Basic ","Lt",15,0.8,11,"100","F","SP","no"
"Basic ","Lt",15,0.8,11,"100","F","SP","yes"
"Basic ","Ultra-Lt",9,0.5,6,"100","F","SP","no"
"Basic ","",17,1,16,"King","F","HP","no"
"Basic ","",17,1,16,"King","F","HP","yes"
"Basic ","Lt",13,0.7,10,"King","F","HP","no"
"Basic ","",17,1,16,"King","F","SP","no"
"Basic ","FF",17,1,16,"King","F","SP","yes"
"Basic ","Lt",14,0.7,11,"King","F","SP","no"
"Basic ","Lt",14,0.7,10,"King","F","SP","yes"
"Basic ","Ultra-Lt",8,0.5,6,"King","F","SP","no"
"Basic ","",16,1.7,27,"King","NF","SP","no"
"Beacon* ","FF",18,0.8,13,"100","F","SP","no"
"Beacon* ","FF",17,0.8,13,"100","F","SP","yes"
"Beacon* ","Lt",12,0.7,9,"100","F","SP","no"
"Beacon* ","Lt",12,0.7,10,"100","F","SP","yes"
