"Brand_Name","flavor","CO","nic","tar","size","filter","pack","menthol"
"Alpine ","",15,1.1,16,"100","F","SP","yes"
"American ","FF",16,0.9,14,"100","F","SP","no"
"Austin* ","FF",17,0.8,13,"100","F","SP","yes"
"Barclay* ","",4,0.4,5,"100","F","SP","no"
"Bargain Buy* ","FF",17,0.8,13,"100","F","SP","yes"
"Basic ","Lt",15,0.8,11,"100","F","SP","no"
"Beacon* ","FF",17,0.8,13,"100","F","SP","yes"
"Belair ","",9,0.8,9,"100","F","SP","yes"
"Benson & Hedges ","Lt",13,0.8,11,"100","F","SP","no"
"Best Choice ","FF",18,0.8,13,"100","F","SP","no"
"Best Choice* ","Ultra-Lt",8,0.3,4,"100","F","SP","no"
"Best Value ","FF",17,0.8,14,"100","F","SP","yes"
"Bonus Value* ","FF",17,0.8,13,"100","F","SP","yes"
"Brandon* ","Lt",12,0.7,10,"100","F","SP","yes"
"Brentwood* ","Ultra-Lt",8,0.3,4,"100","F","SP","no"
"Bristol ","Ultra-Lt",8,0.4,5,"100","F","SP","no"
"Cambridge ","FF",19,1.1,16,"100","F","SP","no"
"Camel ","",17,1.2,17,"100","F","SP","no"
"Capri ","Sup-Slim",6,0.7,9,"100","F","HP","no"
"Cardinal* ","Lt",12,0.7,9,"100","F","SP","no"
"Carlton ","Lt",2,0.2,2,"100","F","SP","yes"
"Cavalier* ","Ultra-Lt",8,0.3,4,"100","F","SP","no"
"Century ","Lt25-pk",12,0.6,8,"100","F","SP","yes"
"Charter* ","Ultra-Lt",8,0.3,4,"100","F","SP","no"
"Chesterfield ","Lt",9,1.1,11,"100","F","SP","no"
"Cimarron* ","FF",17,0.8,13,"100","F","SP","yes"
"Citation* ","Lt",12,0.7,10,"100","F","SP","yes"
"Class A DIx* ","FF",20,0.8,15,"100","F","SP","no"
"Class A Dlx* ","Lt",15,0.6,10,"100","F","SP","yes"
"Class A* ","FF",20,0.8,15,"100","F","SP","yes"
"Courier* ","Ultra-Lt",8,0.3,4,"100","F","SP","no"
"Covington ","Lt",15,0.6,10,"100","F","SP","yes"
"Director's Choice ","Lt",12,0.7,9,"100","F","SP","no"
"Director's Choice* ","FF",17,0.8,13,"100","F","SP","yes"
"Doral ","FF",15,0.8,12,"100","F","SP","yes"
"Doral* ","Lt",13,0.8,11,"100","F","HP","no"
"Eve 100* ","LtSlim",4,0.5,5,"100","F","HP","no"
"Extra Value* ","FF",18,0.8,13,"100","F","SP","no"
"First Choice* ","FF",18,0.8,13,"100","F","SP","no"
"Focus* ","Lt",12,0.7,9,"100","F","SP","no"
"Gen/Private Label* ","FF",20,0.8,15,"100","F","SP","yes"
"Gold Coast* ","Ultra-Lt",8,0.3,4,"100","F","SP","no"
"GPC ","Ultra-Lt",5,0.4,5,"100","F","SP","yes"
"GPC* ","",12,0.8,12,"100","F","HP","no"
"Highway* ","Ultra-Lt",8,0.3,4,"100","F","SP","no"
"Horizon* ","Lt",12,1,12,"100","F","SP","no"
"Jacks* ","Ultra-Lt",8,0.3,4,"100","F","SP","no"
"Jasmine ","LtSlim",8,0.5,7,"100","F","HP","no"
"Kent ","",13,1,14,"100","F","SP","no"
"Kent Golden Lights ","Lt",10,0.8,9,"100","F","HP","no"
"Kent III ","Ultra-Lt",7,0.5,5,"100","F","HP","no"
"Kool ","Ultra",8,0.5,7,"100","F","SP","yes"
"Kool* ","FF",15,1.2,16,"100","F","HP","yes"
"L&M 100 ","Lt",8,0.6,7,"100","F","SP","no"
"Lark ","FF",17,1.1,15,"100","F","SP","no"
"Legend* ","FF",17,0.8,13,"100","F","SP","yes"
"Marker* ","FF",18,0.8,13,"100","F","SP","no"
"Marlboro ","Medium",13,1,13,"100","F","SP","no"
"Maverick ","",15,1.1,15,"100","F","SP","no"
"Merit ","",11,0.7,9,"100","F","SP","yes"
"Misty Slims ","FFSlim",13,1,14,"100","F","HP","no"
"Monaco* ","Ultra-Lt",8,0.3,4,"100","F","SP","no"
"Monarch ","FF",17,0.8,13,"100","F","SP","no"
"More ","Lt",9,0.8,9,"100","F","HP","no"
"Mustang* ","Lt",12,0.7,10,"100","F","SP","yes"
"Newport ","",16,1,15,"100","F","HP","no"
"Newport Lights ","Lt",11,0.8,10,"100","F","HP","yes"
"Newport Slim ","Slim-Lt",10,0.8,10,"100","F","HP","yes"
"Newport Stripe ","Lt",14,0.8,11,"100","F","HP","yes"
"Now ","",3,0.2,2,"100","F","SP","yes"
