triad	indiv-1	indiv-2	dyad	dyad_split	individual_split	triad_recruit_source	indiv-1_recruit_source	cubicle	camera	gender	median_income	indiv_ethnicity	dyad_ethnicity_broad	dyad_ethnicity_narrow	attractiveness	style_similarity	indiv-1_interrupts_indiv-2	indiv-2_interrupts_indiv-1	common_ground	indiv-1_pd_indiv-2	indiv-2_pd_indiv-1	gameplay_profit	indiv-1_predicts_indiv-2	indiv-2_predicts_indiv-1	f1_psychopathy	f2_psychopathy	total_psychopathy
1	92124616	92183856	1	1	1	1	1	2	0	1	36.3	1	1	1	-0.77	-0.75	0.24	0.72	0	0	1	18	0	1	1.00	0.80	1.10
1	92183856	92124616	1	2	1	1	1	1	1	1	100.6	1	1	1	-0.67	-0.75	0.72	0.24	0	1	0	6	1	0	-0.07	-0.77	-0.37
1	92124616	92115856	2	1	2	1	1	2	0	1	36.3	1	1	1	-0.77	-0.83	0.00	0.24	0	0	1	18	0	1	1.00	0.80	1.10
1	92115856	92124616	2	2	1	1	1	3	0	1	109.8	1	1	1	-1.72	-0.83	0.24	0.00	0	1	0	6	1	0	-1.23	-0.66	-1.23
1	92183856	92115856	3	1	2	1	1	1	1	1	100.6	1	1	1	-0.67	0.50	0.24	0.24	0	1	1	6	1	1	-0.07	-0.77	-0.37
1	92115856	92183856	3	2	2	1	1	3	0	1	109.8	1	1	1	-1.72	0.50	0.24	0.24	0	1	1	6	1	1	-1.23	-0.66	-1.23
2	13277691	92175840	4	1	1	1	1	1	0	1	84.6	2	0	0	1.18	0.67	0.00	0.55	1	1	1	6	1	1	-0.58	-1.15	-0.92
2	92175840	13277691	4	2	1	1	1	3	0	1	57.8	1	0	0	1.43	0.67	0.55	0.00	1	1	1	6	1	1	-0.32	-1.63	-0.92
2	13277691	92138848	5	1	2	1	1	1	0	1	84.6	2	0	0	1.18	1.47	0.83	0.28	0	1	0	6	0	0	-0.58	-1.15	-0.92
2	92138848	13277691	5	2	1	1	1	2	1	1	55.3	5	0	0	-1.30	1.47	0.28	0.83	0	0	1	18	0	0	0.08	-0.41	-0.12
2	92175840	92138848	6	1	2	1	1	3	0	1	57.8	1	0	0	1.43	1.74	0.55	0.55	0	1	0	6	1	0	-0.32	-1.63	-0.92
2	92138848	92175840	6	2	2	1	1	2	1	1	55.3	5	0	0	-1.30	1.74	0.55	0.55	0	0	1	18	0	1	0.08	-0.41	-0.12
3	92146016	92192144	7	1	1	1	1	3	0	0	61.4	1	0	0	1.07	0.67	0.29	0.87	0	0	0	12	1	0	-0.97	0.56	-0.52
3	92192144	92146016	7	2	1	1	1	2	1	0		2	0	0	-1.22	0.67	0.87	0.29	0	0	0	12	0	1	2.44	0.32	2.00
3	92146016	92125216	8	1	2	1	1	3	0	0	61.4	1	0	0	1.07	-0.57	0.00	0.58	1	0	1	12	0	1	-0.97	0.56	-0.52
3	92125216	92146016	8	2	1	1	1	1	0	0	112.4	2	0	0	-0.95	-0.57	0.58	0.00	1	1	0	0	1	0	-0.18	-0.17	-0.22
3	92192144	92125216	9	1	2	1	1	2	1	0		2	1	1	-1.22	1.56	0.87	0.58	0	0	1	12	0	1	2.44	0.32	2.00
3	92125216	92192144	9	2	2	1	1	1	0	0	112.4	2	1	1	-0.95	1.56	0.58	0.87	0	1	0	0	1	0	-0.18	-0.17	-0.22
4	92177968	92179088	10	1	1	1	1	3	0	1	73.1	7	1	0	-0.46	-0.12	0.81	1.08	1	1	1	12	1	1	-0.18	0.56	0.09
4	92179088	92177968	10	2	1	1	1	1	1	1	58.4	1	1	0	-0.88	-0.12	1.08	0.81	1	1	1	12	1	1	0.21	0.07	0.19
4	92177968	92131872	11	1	2	1	1	3	0	1	73.1	7	1	0	-0.46	-1.63	0.00	0.27	1	1	1	12	1	1	-0.18	0.56	0.09
