"triad","indiv-1","indiv-2","dyad","dyad_split","individual_split","gender","f1_psychopathy","f2_psychopathy","total_psychopathy","attractiveness","fighting_ability","strength","height","shirt_type","shirt1","median_income","oldest","highest_class_rank","major_presige","dyad_status_difference","proportion_words","proportion_sequence_starts","interruptions_per_min","sequence_starts_per_wordX100","interruptions_per_wordX100","affect_words","triad_total_words_per_min"
1,92124616,92183856,1,1,1,1,1,0.8,1.1,-0.77,1.66,2.43,1.53,"short",2,36.3,NA,NA,38,0,0.41,0.583,0.239,3.75,0.27,11,220.3
1,92183856,92124616,1,2,1,1,-0.07,-0.77,-0.37,-0.67,1.49,0.11,2.27,"short",2,100.6,NA,NA,37.5,0,0.42,0.333,0.957,2.06,1.03,5.13,220.3
1,92124616,92115856,2,1,2,1,1,0.8,1.1,-0.77,1.66,2.43,1.53,"short",2,36.3,NA,NA,38,-0.43,0.41,0.583,0.239,3.75,0.27,11,220.3
1,92115856,92124616,2,2,1,1,-1.23,-0.66,-1.23,-1.72,0.17,0.37,1.9,"short",2,109.8,NA,NA,19,0.43,0.17,0.083,0.478,1.25,1.25,6.5,220.3
1,92183856,92115856,3,1,2,1,-0.07,-0.77,-0.37,-0.67,1.49,0.11,2.27,"short",2,100.6,NA,NA,37.5,-0.57,0.42,0.333,0.957,2.06,1.03,5.13,220.3
1,92115856,92183856,3,2,2,1,-1.23,-0.66,-1.23,-1.72,0.17,0.37,1.9,"short",2,109.8,NA,NA,19,0.57,0.17,0.083,0.478,1.25,1.25,6.5,220.3
2,13277691,92175840,4,1,1,1,-0.58,-1.15,-0.92,1.18,-0.6,1.41,-1.4,"tanktop",1,84.6,NA,NA,30.5,0.29,0.35,0.179,0.829,1.82,1.09,5.4,214.6
2,92175840,13277691,4,2,1,1,-0.32,-1.63,-0.92,1.43,-2.12,-1.08,1.17,"tanktop",1,57.8,NA,NA,32,-0.29,0.33,0.393,1.105,4.28,1.56,7.5,214.6
2,13277691,92138848,5,1,2,1,-0.58,-1.15,-0.92,1.18,-0.6,1.41,-1.4,"tanktop",1,84.6,NA,NA,30.5,-0.29,0.35,0.179,0.829,1.82,1.09,5.4,214.6
2,92138848,13277691,5,2,1,1,0.08,-0.41,-0.12,-1.3,-2.29,-1.19,0.43,"tanktop",1,55.3,NA,NA,15.5,0.29,0.32,0.429,0.829,4.9,1.22,8.1,214.6
2,92175840,92138848,6,1,2,1,-0.32,-1.63,-0.92,1.43,-2.12,-1.08,1.17,"tanktop",1,57.8,NA,NA,32,-0.43,0.33,0.393,1.105,4.28,1.56,7.5,214.6
2,92138848,92175840,6,2,2,1,0.08,-0.41,-0.12,-1.3,-2.29,-1.19,0.43,"tanktop",1,55.3,NA,NA,15.5,0.43,0.32,0.429,0.829,4.9,1.22,8.1,214.6
3,92146016,92192144,7,1,1,0,-0.97,0.56,-0.52,1.07,2.06,0.9,0.74,"short",2,61.4,NA,NA,37.5,-1.14,0.17,0.286,0.29,3.36,0.84,6.4,207.8
