"gender","f1_psychopathy","f2_psychopathy","total_psychopathy","attractiveness","fighting_ability","strength","height","shirt_type","median_income","oldest","major_presige","interruptions_per_min","sequence_starts_per_wordX100","proportion_sequence_starts","proportion_words"
1,1,0.8,1.1,-0.77,1.66,2.43,1.53,"short",36.3,"Missing",38,0.239,3.75,0.583,0.41
1,-0.07,-0.77,-0.37,-0.67,1.49,0.11,2.27,"short",100.6,"Missing",37.5,0.957,2.06,0.333,0.42
1,1,0.8,1.1,-0.77,1.66,2.43,1.53,"short",36.3,"Missing",38,0.239,3.75,0.583,0.41
1,-1.23,-0.66,-1.23,-1.72,0.17,0.37,1.9,"short",109.8,"Missing",19,0.478,1.25,0.083,0.17
1,-0.07,-0.77,-0.37,-0.67,1.49,0.11,2.27,"short",100.6,"Missing",37.5,0.957,2.06,0.333,0.42
1,-1.23,-0.66,-1.23,-1.72,0.17,0.37,1.9,"short",109.8,"Missing",19,0.478,1.25,0.083,0.17
1,-0.58,-1.15,-0.92,1.18,-0.6,1.41,-1.4,"tanktop",84.6,"Missing",30.5,0.829,1.82,0.179,0.35
1,-0.32,-1.63,-0.92,1.43,-2.12,-1.08,1.17,"tanktop",57.8,"Missing",32,1.105,4.28,0.393,0.33
1,-0.58,-1.15,-0.92,1.18,-0.6,1.41,-1.4,"tanktop",84.6,"Missing",30.5,0.829,1.82,0.179,0.35
1,0.08,-0.41,-0.12,-1.3,-2.29,-1.19,0.43,"tanktop",55.3,"Missing",15.5,0.829,4.9,0.429,0.32
1,-0.32,-1.63,-0.92,1.43,-2.12,-1.08,1.17,"tanktop",57.8,"Missing",32,1.105,4.28,0.393,0.33
1,0.08,-0.41,-0.12,-1.3,-2.29,-1.19,0.43,"tanktop",55.3,"Missing",15.5,0.829,4.9,0.429,0.32
0,-0.97,0.56,-0.52,1.07,2.06,0.9,0.74,"short",61.4,"Missing",37.5,0.29,3.36,0.286,0.17
0,2.44,0.32,2,-1.22,0.93,0.02,-0.07,"short",64.2,"Missing",15,1.739,1.62,0.5,0.6
0,-0.97,0.56,-0.52,1.07,2.06,0.9,0.74,"short",61.4,"Missing",37.5,0.29,3.36,0.286,0.17
0,-0.18,-0.17,-0.22,-0.95,-0.05,-0.71,0.33,"short",112.4,"Missing",38,1.159,1.82,0.214,0.23
0,2.44,0.32,2,-1.22,0.93,0.02,-0.07,"short",64.2,"Missing",15,1.739,1.62,0.5,0.6
0,-0.18,-0.17,-0.22,-0.95,-0.05,-0.71,0.33,"short",112.4,"Missing",38,1.159,1.82,0.214,0.23
1,-0.18,0.56,0.09,-0.46,0.07,0.47,-0.3,"short",73.1,"Missing",38,0.811,2.68,0.214,0.14
1,0.21,0.07,0.19,-0.88,1.2,2.08,-1.03,"long",58.4,"Missing",27.5,2.162,1.9,0.714,0.66
1,-0.18,0.56,0.09,-0.46,0.07,0.47,-0.3,"short",73.1,"Missing",38,0.811,2.68,0.214,0.14
1,-0.71,-0.66,-0.82,-0.46,-0.48,-0.94,0.8,"short",72.3,"Missing",37.5,0.811,0.61,0.071,0.2
1,0.21,0.07,0.19,-0.88,1.2,2.08,-1.03,"long",58.4,"Missing",27.5,2.162,1.9,0.714,0.66
1,-0.71,-0.66,-0.82,-0.46,-0.48,-0.94,0.8,"short",72.3,"Missing",37.5,0.811,0.61,0.071,0.2
1,-0.71,-1.39,-1.12,-1.3,-0.66,-1.17,-1.03,"tanktop",62.3,"no",15,1.327,4.69,0.391,0.21
1,1.39,-0.9,0.69,-1.19,1.35,1.23,0.8,"short",33.8,"yes",30,3.982,1.22,0.261,0.53
