AOA,GJT
5,197
5,197
8,196
9,182
9,163
10,171
10,193
11,188
11,198
12,193
12,182
14,169
14,168
14,168
15,182
15,180
16,154
16,143
17,171
17,125
18,186
18,179
18,174
19,155
20,174
20,164
20,144
22,162
22,133
23,155
23,167
24,122
24,176
24,182
24,183
25,174
26,143
27,188
27,168
27,156
31,158
34,149
35,118
36,170
36,136
39,132
42,119
42,132
44,151
44,118
44,115
45,115
47,131
48,131
48,150
48,113
49,131
49,141
49,113
50,128
51,127
52,148
53,140
54,149
54,116
54,110
56,140
56,118
56,113
57,138
57,115
58,113
59,150
63,107
71,114
71,104
