"obs_number","date","obs_pref","obs_position","demo_pref","condition","time_train","time_soc","time_exp","dropout","dog_age","dog_sex","breed","dropout_category","trial","value","start_direction","conform"
"10","13-Apr-2014","links","links","rechts",3,30,16,NA,0,82,1,"Rhodesian Ridgeback",0,1,2,1,NA
"11","14-Apr-2014","rechts","rechts","links",1,15,5,5,0,14,2,"englischer Cocker Spaniel",0,1,0,1,0
"12","14-Apr-2014","rechts","rechts","links",1,38,4,NA,0,48,2,"Petit Basset Griffon Vendeen",0,1,1,1,1
"13","15-Apr-2014","rechts","rechts","links",1,33,NA,15,0,72,2,"Harzer Fuchs",0,1,2,1,NA
"14","15-Apr-2014","rechts","rechts","links",1,34,5,10,0,34,1,"Mops",0,1,1,1,1
"15","16-Apr-2014","rechts","rechts","links",1,15,10,15,0,60,1,"Rhodesian Ridgeback",0,1,0,1,0
"16","16-Apr-2014","rechts","rechts","links",1,40,5,10,0,73,1,"englischer Cocker Spaniel",0,1,0,1,0
"17","17-Apr-2014","links","links","rechts",3,NA,NA,NA,1,54,1,"Elo",1,1,1,1,1
"18","17-Apr-2014","links","links","rechts",3,10,5,10,1,33,2,"Elo",1,1,0,1,0
"19","18-Apr-2014","links","links","rechts",1,12,2,10,0,86,1,"Malinois",0,1,1,1,1
"20","18-Apr-2014","links","links","rechts",1,22,5,10,0,72,2,"Malinois",0,1,0,1,0
"21","18-Apr-2014","links","links","rechts",3,NA,10,NA,1,40,2,"Labrador",1,1,1,1,1
"22","18-Apr-2014","links","links","rechts",1,11,NA,10,0,53,2,"Bolonka Zwetna",0,1,0,1,0
"23","20-Apr-2014","rechts","rechts","links",1,40,5,15,0,11,2,"Schipperke",0,1,0,1,0
"24","20-Apr-2014","rechts","rechts","links",1,35,10,NA,0,81,2,"Rhodesian Ridgeback",0,1,0,1,0
"25","21-Apr-2014","rechts","rechts","links",1,25,5,15,0,32,2,"Parson Jack Russell Terrier",0,1,1,1,1
"26","21-Apr-2014","rechts","rechts","links",1,40,5,15,0,18,1,"Hütehundmix aus Kreta (Straßenhund)",0,1,1,1,1
"27","25-Apr-2014","rechts","rechts","links",3,45,10,NA,1,114,1,"Australian Shepherd",1,1,0,1,0
"28","25-Apr-2014","rechts","rechts","links",3,NA,NA,NA,1,36,2,"Scotchterrier",1,1,NA,1,NA
"29","01-Mai-2014","rechts","rechts","links",3,30,5,15,0,60,1,"Mischling",0,1,1,1,1
"30","01-Mai-2014","rechts","rechts","links",3,15,20,10,0,60,1,"Australian Shepherd",0,1,0,1,0
"31","01-Mai-2014","links","links","rechts",3,40,15,20,0,72,1,"Labrador Jagdhund",0,1,1,1,1
"32","01-Mai-2014","links","links","rechts",3,25,5,NA,0,28,2,"Labrador",0,1,1,1,1
"33","02-Mai-2014","rechts","rechts","links",3,15,15,15,0,42,1,"Labrador-Mix",0,1,1,1,1
"34","02-Mai-2014","rechts","rechts","links",1,15,15,20,0,143,2,"Border Collie-Altdeutscher Hütehund-Mix",0,1,0,1,0
"35","02-Mai-2014","links","links","rechts",1,45,5,10,0,60,1,"Labrador",0,1,1,1,1
"36","02-Mai-2014","links","links","rechts",1,15,10,15,0,13,2,"Lagotto Romagnolo",0,1,1,1,1
"37","03-Mai-2014","rechts","links","links",1,15,10,5,1,62,2,"Labrador Retriever",1,1,NA,0,NA
"38","03-Mai-2014","rechts","links","links",1,25,10,10,1,36,2,"Rhodesian Ridgeback",1,1,0,0,0
"39","03-Mai-2014","rechts","links","links",1,42,35,NA,1,12,1,"Jack Russell",1,1,NA,0,NA
"40","03-Mai-2014","rechts","links","links",1,15,10,NA,1,75,2,"Boxer-Labrador-Mix",1,1,NA,0,NA
