Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,
1,NATURE,"511,248",36.104,1.7352,
2,SCIENCE,"469,815",31.377,1.45546,
3,ECOLOGY LETTERS,"12,913",15.253,0.06619,
4,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,"482,699",9.771,1.65917,
5,NEW PHYTOLOGIST,"22,653",6.516,0.06158,
6,MOLECULAR ECOLOGY,"25,229",6.457,0.07318,
7,ECOLOGY,"46,172",5.073,0.08319,
8,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"31,791",5.064,0.09051,
9,ENVIRONMENTAL SCIENCE & TECHNOLOGY,"72,582",4.827,0.18254,
10,PLoS One,"42,795",4.411,0.31957,
11,ECOLOGICAL APPLICATIONS,"13,617",4.276,0.0361,
12,OECOLOGIA,"26,526",3.517,0.04523,
13,SCIENCE OF THE TOTAL ENVIRONMENT,"22,018",3.19,0.05537,
14,JOURNAL OF ENVIRONMENTAL MANAGEMENT,"6,061",2.597,0.01944,
15,INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,"1,587",1.813,0.00417,
16,AMBIO,"3,739",1.705,0.00746,
17,ENVIRONMENTAL MANAGEMENT,"4,534",1.503,0.00872,
18,ENVIRONMENTAL MONITORING AND ASSESSMENT,"5,097",1.436,0.01448,
19,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"21,141",6.053,0.068500,
