"Table BT.02 :  Births, by mother's age, Scotland, 1945 to 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mother's     Age,Year,,,,,,,,,,,,,,,,,,,,,,,,,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Year,,,,,,,,,,,,,,,,,,,,,Mother's Age,,,
,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
under 16,37,38,24,32,17,18,26,22,26,23,24,36,35,30,39,45,56,69,74,59,78,65,90,92,108,under 16,110,110,111,139,155,145,136,98,104,139,112,91,121,127,117,119,128,122,147,126,123,114,128,125,131,160,160,178,137,142,136,132,110,105,96,104,110,107,90,95,76,78,63,65,60,58,40,31,23,30,under 16,,,
12,..,..,..,..,..,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,12,1,-,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,1,-,-,12,,,
13,..,..,..,..,..,-,1,2,2,6,1,2,1,-,2,-,2,1,4,-,3,-,4,1,3,13,1,-,5,-,-,3,2,1,-,1,1,-,2,1,3,1,2,1,2,4,1,1,1,2,-,-,3,2,5,1,2,1,2,3,1,2,4,3,1,2,1,1,-,1,2,1,2,-,2,2,13,,,
14,..,..,..,..,..,2,7,3,5,1,3,6,9,8,6,7,18,10,9,5,9,7,9,12,9,14,13,19,9,23,19,17,20,11,16,20,16,15,16,18,16,18,15,16,17,14,18,11,23,19,24,25,23,23,22,18,19,16,17,13,12,16,20,18,10,8,14,7,8,15,13,11,5,10,4,5,14,,,
15,..,..,..,..,..,16,17,17,19,16,20,28,25,21,31,38,36,58,61,54,66,58,77,79,96,15,95,91,97,116,136,123,114,86,88,118,95,76,102,108,98,100,111,105,127,107,104,101,104,104,107,135,134,153,110,123,115,115,91,89,83,86,85,86,79,85,61,68,55,49,45,46,33,20,17,22,15,,,
16,120,174,136,121,110,98,100,103,104,128,115,148,131,165,184,237,235,298,376,407,402,429,454,455,475,16,504,579,651,663,631,593,551,531,542,543,496,473,472,459,473,537,524,529,514,489,431,449,457,426,385,428,494,505,496,420,370,410,358,350,344,322,348,348,371,349,299,261,209,224,164,147,121,107,94,91,16,,,
17,465,444,448,480,463,448,408,420,413,462,486,590,609,643,716,852,988,"1,034","1,147","1,540","1,497","1,409","1,457","1,481","1,488",17,"1,659","1,669","1,851","1,880","1,807","1,635","1,438","1,365","1,332","1,362","1,396","1,267","1,358","1,194","1,248","1,367","1,252","1,262","1,221","1,157","1,140","1,108","1,039",992,845,913,"1,001","1,101","1,112","1,050",954,868,915,906,853,853,849,893,839,802,755,682,570,533,457,391,364,301,234,214,17,,,
18,"1,007","1,039","1,131","1,102","1,267","1,165","1,039","1,082","1,147","1,201","1,223","1,431","1,560","1,628","1,650","1,780","1,988","2,152","2,164","2,399","2,948","2,853","2,943","2,835","2,809",18,"2,699","3,034","2,858","2,694","2,739","2,600","2,342","2,172","2,161","2,208","2,203","2,146","2,086","1,928","1,920","1,996","1,981","2,003","1,840","1,757","1,704","1,681","1,608","1,504","1,331","1,204","1,343","1,390","1,423","1,501","1,382","1,339","1,247","1,285","1,290","1,280","1,269","1,223","1,298","1,170","1,100",921,951,773,697,609,551,550,483,433,18,,,
19,"1,914","1,832","2,169","2,249","2,353","2,249","2,123","2,058","2,109","2,212","2,386","2,631","2,753","2,907","3,053","3,052","3,065","3,486","3,601","3,649","3,689","4,607","4,503","4,214","4,051",19,"4,062","3,804","3,760","3,564","3,447","3,294","3,047","2,811","2,945","2,900","3,019","2,894","2,848","2,633","2,484","2,499","2,496","2,473","2,436","2,191","2,205","2,171","1,974","1,703","1,611","1,575","1,546","1,661","1,634","1,642","1,757","1,695","1,565","1,509","1,589","1,612","1,554","1,733","1,681","1,574","1,525","1,445","1,281","1,168","1,068",921,898,849,780,681,19,,,
under 20,"3,543","3,527","3,908","3,984","4,210","3,978","3,696","3,685","3,799","4,026","4,234","4,836","5,088","5,373","5,642","5,966","6,332","7,039","7,362","8,054","8,614","9,363","9,447","9,077","8,931",under 20,"9,034","9,196","9,231","8,940","8,779","8,267","7,514","6,977","7,084","7,152","7,226","6,871","6,885","6,341","6,242","6,518","6,381","6,389","6,158","5,720","5,603","5,523","5,206","4,750","4,303","4,280","4,544","4,835","4,802","4,755","4,599","4,444","4,195","4,155","4,172","4,171","4,130","4,304","4,279","3,990","3,755","3,387","3,074","2,763","2,446","2,126","1,974","1,838","1,614","1,449",under 20,,,
20,"2,743","3,099","3,195","3,316","3,398","3,350","3,478","3,436","3,275","3,501","3,491","3,810","4,047","4,218","4,354","4,440","4,252","4,638","4,804","5,066","4,831","4,913","6,010","5,798","5,331",20,"4,884","4,815","4,203","4,094","3,998","3,850","3,594","3,439","3,430","3,518","3,511","3,569","3,383","3,229","3,123","3,142","2,916","2,796","2,919","2,580","2,589","2,501","2,337","2,010","1,836","1,800","1,777","1,684","1,684","1,744","1,749","1,832","1,664","1,738","1,710","1,793","1,889","1,953","1,920","1,837","1,776","1,682","1,651","1,468","1,325","1,182",1142,1080,991,942,20,,,
21,"3,692","4,243","4,895","4,604","4,588","4,575","4,578","4,817","4,741","4,887","4,926","5,162","5,446","5,755","5,890","6,046","5,989","6,091","5,845","6,369","6,239","5,792","5,941","7,342","6,510",21,"6,142","5,820","4,986","4,615","4,545","4,231","3,999","3,794","4,024","4,066","4,277","4,193","4,091","3,927","3,723","3,677","3,583","3,421","3,289","2,973","2,972","2,846","2,665","2,418","2,157","2,017","1,923","1,909","1,746","1,708","1,738","1,787","1,956","1,848","1,831","1,868","1,886","2,085","2,131","2,118","1,906","1,936","1,829","1,726","1,593","1,465",1328,1258,1179,1113,21,,,
