Strawberry	Orange	Lemon	Apple	Grape	Uncounted
9	10	6	18	13	0
13	10	10	15	12	0
14	6	10	7	19	0
10	17	10	11	10	0
7	12	15	18	8	1
8	13	11	11	14	0
11	5	12	13	16	1
11	10	10	8	14	2
12	8	9	16	10	0
13	15	8	10	10	0
18	11	14	6	8	1
11	10	12	11	13	0
6	9	12	20	13	0
14	7	13	11	13	0
14	10	13	7	13	0
11	10	9	12	15	0
11	7	11	11	16	0
12	11	10	15	10	1
11	10	11	10	11	0
11	14	14	10	12	0
8	14	7	12	17	0
16	7	13	11	12	0
11	6	11	21	10	0
9	12	10	16	12	0
14	10	12	9	12	0
9	10	5	17	15	0
14	12	9	11	12	1
12	14	9	5	19	0
10	12	11	13	11	0
8	13	13	6	19	0
8	12	13	8	16	1
11	13	16	14	13	0
10	12	16	10	12	0
9	14	13	10	12	1
11	13	12	11	11	0
13	12	5	12	14	0
