age_mos,circumference_cm
0.33,34.9
1.13,37.64
0.27,31.28
2.67,37.84
2.77,38.7
0.9,37.2
2.1,38.7
2.63,39.53
2.6,34.72
0.9,36.71
1.9,41.77
6.57,49.12
5.87,41.85
7.33,42.38
5.4,42.86
4.6,37.28
5.13,37.64
6.17,43.49
7.7,42.96
4.83,39.14
4.77,40.38
7.17,44.4
8.7,44.18
8.97,42.13
11.33,47.88
8.6,43.96
8.6,43.31
9.1,45.21
8.23,45.9
9.57,48.55
10.53,44.18
14.26,47.78
13.4,49.91
14.63,47.46
12.47,42.03
17.67,46.57
12.07,44.71
12.73,47.93
17.83,45.6
20.07,48.25
21.13,47.61
22.27,49.17
19.93,47.16
22.03,48.49
20.33,46.91
18.57,47.1
19.9,45.55
18.6,47.23
39.6,51.32
25.8,48.62
30.33,49.73
27.23,49.27
39.6,49.67
31.16,51.64
24.7,46.67
26.47,46.07
