;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Average estimates (g) for each of the presented weight;;;;;;;;;;;Results of linear fit: estimated weights vs. presented weights;;;;;;;
;Height (cm);BIAS;CV;RMS;RATIO;100;;200;;300;;400;;Total Average Estimate (g);Average Absolute Bias (g);;Intercept;Slope;Cint low;C int High;Adj R2;;Age (years);Gender (1=M)
;;;;;;Mean;SE;Mean;SE;Mean;SE;Mean;SE;;;;;;;;;;;
10YO_S1;140;0,168522995;0,438178046;0,469467784;2,60010834;150;39,52847075;210;69,37218463;240;59,68668193;370;45,41475531;242,5;37,5;;70;0,69;0,322285826;1,057714174;0,335381823;;10;0
10YO_S2;134;0,442718872;0,4;0,596657356;0,903507903;240;75,82875444;220;41,83300133;130;45,41475531;410;20,91650066;250;85;;145;0,42;-0,043066779;0,883066779;0,071978691;;10;0
10YO_S3;140;0,206881609;0,404969135;0,45475268;1,957492197;140;62,24949799;170;51,84110338;210;44,72135955;390;41,07919181;227,5;42,5;;30;0,79;0,427778504;1,152221496;0,411824524;;10;1
10YO_S4;144;0,318747549;0,350713558;0,473919824;1,100286291;100;25;180;57,55432217;250;46,77071733;250;39,52847075;195;55;;65;0,52;0,223119847;0,816880153;0,302116402;;10;0
10YO_S5;151;0,285657137;0,477493455;0,55641711;1,67156144;110;32,59601203;150;46,77071733;270;72,02430145;270;76,23975341;200;55;;50;0,6;0,199535164;1,000464836;0,232323232;;10;0
10YO_S6;151;0,173205081;0,387298335;0,424264069;2,236067977;180;72,02430145;190;37,08099244;310;48,08846015;430;22,36067977;277,5;32,5;;60;0,87;0,534797536;1,205202464;0,503346158;;10;1
10YO_S7;136;0,386264158;0,425440948;0,574630316;1,101424863;200;61,23724357;330;51,84110338;200;58,630197;380;37,91437722;277,5;87,5;;175;0,41;-0,011083586;0,831083586;0,08876237;;10;1
10YO_S8;147;0,612535713;0,475394573;0,775370879;0,776109152;340;44,72135955;200;50;290;85,51315688;210;48,08846015;260;110;;335;-0,3;-0,725150213;0,125150213;0,025502465;;10;1
10YO_S9;142;0,283548938;0,496990946;0,57218878;1,752751923;100;35,35533906;210;81,77713617;160;69,37218463;380;51,84110338;212,5;42,5;;15;0,79;0,336078511;1,243921489;0,299099746;;10;1
10YO_S10;134;0,285657137;0,313049517;0,423792402;1,095892509;120;41,83300133;100;30,61862178;220;41,83300133;340;41,07919181;195;65;;-4,83E-15;0,78;0,488228088;1,071771912;0,518863049;;10;1
10YO_S11;137;0,342344855;0,225831796;0,410121933;0,659661719;80;22,36067977;120;41,83300133;150;25;400;17,67766953;187,5;62,5;;-60;0,99;0,707596563;1,272403437;0,654255765;;10;0
10YO_S12;144;0,432666153;0,309838668;0,532165388;0,716114874;130;37,91437722;130;22,36067977;130;48,73397172;290;41,07919181;170;95;;50;0,48;0,180319558;0,779680442;0,261111111;;10;0
10YO_S13;136;0,347562944;0,366060104;0,504777179;1,053219599;140;32,59601203;170;37,91437722;160;57,00877125;310;51,23475383;195;75;;70;0,5;0,170984564;0,829015436;0,23830735;;10;0
10YO_S14;143;0,430348696;0,266458252;0,506162029;0,619168257;230;37,91437722;190;27,38612788;280;13,69306394;230;45,41475531;232,5;82,5;;210;0,09;-0,154346456;0,334346456;-0,032162943;;10;1
10YO_S15;139;0,25845696;0,46260134;0,529905652;1,789858322;190;59,68668193;210;51,23475383;210;54,19870847;380;65,19202405;247,5;52,5;;105;0,57;0,160338305;0,979661695;0,202398563;;9;0
10YO_S16;143;0,182208672;0,442718872;0,478748368;2,429735471;190;48,08846015;210;69,37218463;300;63,73774392;410;32,59601203;277,5;27,5;;90;0,75;0,378309445;1,121690555;0,371756427;;10;0
10YO_S17;142;0,414246304;0,343511281;0,538144962;0,829244046;80;22,36067977;100;30,61862178;130;51,84110338;340;57,00877125;162,5;87,5;;-40;0,81;0,472611842;1,147388158;0,462238837;;10;1
10YO_S18;147;0,204939015;0,3082207;0,37013511;1,503963019;120;51,84110338;210;41,07919181;200;30,61862178;400;25;232,5;32,5;;25;0,83;0,530598408;1,129401592;0,537812231;;10;0
10YO_S19;148;0,181107703;0,372827038;0,414487636;2,058592936;180;65,19202405;210;41,07919181;260;32,59601203;390;41,07919181;260;35;;90;0,68;0,360882038;0,999117962;0,399751244;;10;0
10YO_S20;139;0,233238076;0,432434966;0,49132474;1,854049622;160;27,38612788;200;46,77071733;220;85,87782019;340;37,08099244;230;50;;90;0,56;0,195709045;0,924290955;0,243200963;;10;1
10YO_S21;147;0,109544512;0,374165739;0,389871774;3,415650255;120;41,83300133;160;54,19870847;310;51,23475383;370;37,91437722;240;25;;15;0,9;0,582877529;1,217122471;0,549968524;;10;0
10YO_S22;130;0,163707055;0,457165178;0,485592422;2,792580789;100;35,35533906;170;67,54628043;230;74,16198487;370;41,83300133;217,5;32,5;;1,22E-14;0,87;0,489075695;1,250924305;0,435954749;;10;1
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
