;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Average estimates (g) for each of the presented weight;;;;;;;;;;;Results of linear fit: estimated weights vs. presented weights;;;;;;;;;
;Height (cm);BIAS;CV;RMS;RATIO;100;;200;;300;;400;;Total Average Estimate (g);Average Absolute Bias (g);;Intercept;Slope;Cint low;C int High;Adj R2;;Age (years);Gender (1=M);;
;;;;;;Mean;SE;Mean;SE;Mean;SE;Mean;SE;;;;;;;;;;;;;
6YO_S1;124;0,146969385;0,427784993;0,452327315;2,910708199;150;46,77071733;240;44,72135955;270;67,54628043;380;51,84110338;260;35;;80;0,72;0,365187251;1,074812749;0,374633124;;6;0;;
6YO_S2;118;0,328024389;0,517687164;0,612862138;1,578197174;240;77,86205751;280;69,82120022;330;62,74950199;400;43,30127019;312,5;62,5;;180;0,53;0,105912024;0,954087976;0,162864743;;6;0;;
6YO_S3;121;0,388844442;0,437035468;0,584978632;1,123933945;170;72,02430145;370;33,54101966;360;62,24949799;380;41,83300133;320;80;;165;0,62;0,21464267;1,02535733;0,241049383;;6;1;;
6YO_S4;122;0,197989899;0,453872229;0,495176736;2,292400934;160;44,72135955;140;32,59601203;250;72,88689869;390;67,08203932;235;45;;35;0,8;0,39911823;1,20088177;0,366139548;;6;1;;
6YO_S5;116;0,326190129;0,496990946;0,594474558;1,523623501;170;45,41475531;300;82,91561976;360;32,59601203;310;73,73940602;285;80;;165;0,48;0,041388919;0,918611081;0,12042129;;6;1;;
6YO_S6;118;0,278567766;0,472228758;0,548270006;1,695202448;210;32,59601203;230;91,17291264;300;50;320;45,41475531;265;55;;165;0,4;0,011820997;0,788179003;0,10347353;;6;1;;
6YO_S7;116;0,358329457;0,649615271;0,74188948;1,812899435;240;100,623059;240;69,37218463;330;28,50438563;300;103,0776406;277,5;77,5;;210;0,27;-0,26861528;0,80861528;-0,013029996;;6;0;;
6YO_S8;127;0,225388553;0,398748041;0,4580393;1,769158348;190;54,19870847;260;69,37218463;290;41,07919181;430;22,36067977;292,5;47,5;;105;0,75;0,412215962;1,087784038;0,421160623;;6;1;;
6YO_S9;122;0,498397432;0,286356421;0,574804315;0,574554368;70;22,36067977;60;11,18033989;100;25;360;62,24949799;147,5;102,5;;-80;0,91;0,562850263;1,257149737;0,508565487;;6;0;;
6YO_S10;114;0,559285258;0,27202941;0,621932472;0,486387592;310;27,38612788;360;37,08099244;390;41,07919181;380;28,50438563;360;120;;3,00E+02;0,24;0,010823523;0,469176477;0,107885305;;6;1;;
6YO_S11;119;0,30528675;0,671565336;0,737699126;2,199785397;200;103,0776406;140;87,32124598;210;99,05806378;440;11,18033989;247,5;72,5;;50;0,79;0,18027667;1,39972333;0,175633152;;6;1;;
6YO_S12;127;0,087177979;0,357770876;0,368239053;4,103913408;130;48,73397172;200;35,35533906;270;62,74950199;410;20,91650066;252,5;17,5;;25;0,91;0,609262284;1,210737716;0,582710641;;6;1;;
6YO_S13;121;0,289827535;0,595818764;0,662570751;2,055770045;170;57,55432217;280;89,4427191;260;77,86205751;310;69,37218463;255;70;;155;0,4;-0,096896558;0,896896558;0,047551214;;6;1;;
6YO_S14;120;0,205912603;0,465832588;0,509313263;2,262283035;200;63,73774392;190;41,07919181;280;69,82120022;390;54,19870847;265;35;;100;0,66;0,262381908;1,057618092;0,277150667;;6;0;;
6YO_S15;110;0,308544972;0,548634669;0,629444199;1,778135176;210;71,58910532;240;54,19870847;200;93,54143467;390;44,72135955;260;65;;135;0,5;0,012607806;0,987392194;0,102272727;;5;1;;
6YO_S16;117;0,536283507;0,610737259;0,812773031;1,138832821;250;91,85586535;380;41,83300133;230;76,23975341;290;85,51315688;287,5;127,5;;295;-0,03;-0,571707951;0,511707951;-0,055015015;;5;0;;
6YO_S17;121;0,297993289;0,586515132;0,657875368;1,968215911;180;41,83300133;190;64,71089553;360;75,82875444;290;99,05806378;255;65;;130;0,5;-0,01180179;1,01180179;0,089597849;;5;0;;
6YO_S18;110;0,420951304;0,361939221;0,555157635;0,859812568;260;51,23475383;250;25;210;59,68668193;310;37,08099244;257,5;97,5;;230;0,11;-0,210111043;0,430111043;-0,035136335;;5;0;;
6YO_S19;120;0,259229628;0,700713922;0,747127834;2,703062637;140;87,32124598;240;97,46794345;240;90,82951062;300;72,88689869;230;60;;110;0,48;-0,097674285;1,057674285;0,053600638;;5;0;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
