;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Average estimates (g) for each of the presented weight;;;;;;;;;;;Results of linear fit: estimated weights vs. presented weights;;;;;;;;
;Height (cm);BIAS;CV;RMS;RATIO;100;;200;;300;;400;;Total Average Estimate (g);Average Absolute Bias (g);;Intercept;Slope;Cint low;C int High;Adj R2;;Age (years);Gender (1=M);
;;;;;;Mean;SE;Mean;SE;Mean;SE;Mean;SE;;;;;;;;;;;;
Adult_S1;165;0,26070817;0,27418711;0,378348148;1,051701257;168,75;28,45960259;306,25;12,11130354;275;39,12303982;418,75;14,06072835;292,1875;54,6875;;112,5;0,71875;0,511511359;0,925988641;0,520499831;;30;0;
Adult_S2;178;0,201556444;0,357571172;0,410465763;1,774049815;125;26,72612419;162,5;33,12006606;225;39,12303982;350;34,99271061;215,625;46,875;;31,25;0,7375;0,497658659;0,977341341;0,458400547;;34;0;
Adult_S3;175;0,185825859;0,270911161;0,328518047;1,457876541;100;22,58769757;175;24,74358297;212,5;31,54200309;381,25;22,44608052;217,1875;32,8125;;-3,12E+00;0,88125;0,686862217;1,075637783;0,652485395;;26;1;
Adult_S4;160;0,146841752;0,331123628;0,3622228;2,254969208;100;14,28571429;168,75;26,60654362;250;49,48716593;356,25;23,55518921;218,75;31,25;;6,25;0,85;0,633779577;1,066220423;0,583996555;;27;0;
Adult_S5;175;0,123743687;0,403112887;0,421678195;3,257644072;156,25;35,62488811;187,5;42,55848317;281,25;45,10475336;387,5;26,24453296;253,125;25;;56,25;0,7875;0,520653288;1,054346712;0,437269076;;29;0;
Adult_S6;178;0,151038075;0,320156212;0,353995056;2,11970533;118,75;28,45960259;268,75;39,04144841;300;30,30457634;425;20,20305089;278,125;28,125;;40,625;0,95;0,731604718;1,168395282;0,633169551;;27;0;
Adult_S7;164;0,32040014;0,309088522;0,445187561;0,964695338;68,75;20,04459314;125;36,42156795;162,5;36,06966049;412,5;19,56151991;192,1875;64,0625;;-75;1,06875;0,817169477;1,320330523;0,621891648;;25;0;
Adult_S8;167;0,132876823;0,344082631;0,368848353;2,589485693;150;28,57142857;187,5;42,55848317;337,5;38,79564461;418,75;9,780759955;273,4375;29,6875;;34,375;0,95625;0,724279154;1,188220846;0,607357966;;28;0;
Adult_S9;185;0,198824672;0,300891532;0,360647978;1,513351085;187,5;44,89216104;187,5;24,22260708;256,25;23,55518921;387,5;8,748177653;254,6875;39,0625;;87,5;0,66875;0,453555519;0,883944481;0,463856552;;41;1;
Adult_S10;170;0,248117916;0,322379546;0,406805938;1,29929975;212,5;33,12006606;218,75;28,45960259;331,25;26,60654362;362,5;33,12006606;281,25;50;;140,625;0,5625;0,344930672;0,780069328;0,370624196;;26;0;
Adult_S11;171;0,303366527;0,439764547;0,534250978;1,4496146;200;46,29100499;281,25;41,57302402;350;39,12303982;337,5;38,79564461;292,1875;73,4375;;171,875;0,48125;0,188131911;0,774368089;0,179138778;;33;1;
Adult_S12;171;0,211024288;0,349233855;0,408038645;1,654946258;200;31,94382825;187,5;42,55848317;318,75;22,44608052;375;31,94382825;270,3125;39,0625;;106,25;0,65625;0,415207456;0,897292544;0,396329122;;27;0;
Adult_S13;169;0,17365555;0,408612635;0,443982585;2,353006487;150;34,99271061;250;40,40610178;350;39,12303982;393,75;39,68948352;285,9375;39,0625;;78,125;0,83125;0,562987348;1,099512652;0,462358418;;35;0;
Adult_S14;180;0,207289049;0,502316064;0,54340609;2,423263872;131,25;43,95904866;168,75;52,42827949;243,75;45,66682804;325;47,38035415;217,1875;48,4375;;53,125;0,65625;0,329121126;0,983378874;0,254683352;;36;1;
Adult_S15;170;0,160565407;0,371050632;0,404301647;2,310900201;137,5;31,54200309;243,75;51,93942704;350;28,57142857;375;20,20305089;276,5625;39,0625;;71,875;0,81875;0,570471202;1,067028798;0,494514065;;26;0;
Adult_S16;178;0,307713341;0,463295648;0,556174754;1,505607936;237,5;37,45745886;256,25;47,84914645;268,75;43,95904866;375;45,17539515;284,375;62,5;;178,125;0,425;0,117091154;0,732908846;0,126470457;;28;1;
Adult_S17;173;0,21286733;0,446814119;0,494929649;2,099026281;175;41,64965639;200;51,50787536;368,75;36,33391062;368,75;37,71198586;278,125;43,75;;90,625;0,75;0,444144554;1,055855446;0,344907643;;42;1;
Adult_S18;182;0,130503831;0,265585606;0,295917158;2,035078998;125;24,74358297;250;28,57142857;331,25;26,60654362;387,5;19,56151991;273,4375;29,6875;;56,25;0,86875;0,690045777;1,047454223;0,683930304;;34;1;
Adult_S19;165;0,29843341;0,401337051;0,500133911;1,344812739;87,5;19,56151991;143,75;39,68948352;306,25;42,18218504;262,5;44,89216104;200;53,125;;28,125;0,6875;0,401414816;0,973585184;0,335279088;;31;0;
Adult_S20;160;0,1875;0,322656385;0,373180108;1,720834054;162,5;40,08918629;250;31,94382825;331,25;31,84384732;437,5;8,748177653;295,3125;45,3125;;68,75;0,90625;0,696492741;1,116007259;0,629949626;;46;0;
Adult_S21;170;0,088388348;0,311104025;0,323416472;3,51974025;118,75;20,04459314;206,25;27,54865825;287,5;37,45745886;362,5;29,88071523;243,75;18,75;;40,625;0,8125;0,610671308;1,014328692;0,59574928;;32;0;
;;;;;;;;;;;;;;;;;;;;;;;;;
